id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
6,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,The Caine The Caine Prize for African Writing,9.78191E+12,190652324X,$18.95,New Internationalist,2009,Literary Collections,,,
475,30 Satires,Lewis H. Lapham,Lewis H. Lapham,9.78157E+12,1565849868,$15.95,"New Press, The",2005,"Political Science, General",,,
68,Coming of Age in America: A Multicultural Anthology,Mary Frosch,"Mary Frosch, Gary Soto",9.78157E+12,1565841476,$16.41,"New Press, The",2007,"Peoples & Cultures - American Anthologies, Ethnic & Minority Studies - United States",,288,5.58 (w) x 8.28 (h) x 0.73 (d)
179,Coming of Age in the 21st Century,Mary Frosch,Mary Frosch,9.7816E+12,1595580557,$14.59,"New Press, The",2008,"Peoples & Cultures - American Anthologies, Ethnic & Minority Studies - United States",,319,5.40 (w) x 8.20 (h) x 1.00 (d)
273,Growing up Poor: A Literary Anthology,Robert Coles,"Robert Coles, Randy  Testa, Michael  Coles, Randy Testa, Michael Coles",9.78157E+12,156584744X,$16.95,"New Press, The",2002,American Literature Anthologies,,304,5.54 (w) x 8.18 (h) x 0.81 (d)
155,The Stuffed Owl: An Anthology of Bad Verse,D.B. Wyndham Lewis,"D.B. Wyndham Lewis, Charles Lee, D. B. Lewis, Charles Lee, Billy Collins",9.78159E+12,1590170385,$18.19,New York Review of Books,2003,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,264,5.00 (w) x 8.00 (h) x 0.70 (d)
361,Plays and Playwrights 2002,Martin Denton,"Martin Denton, Marc Spitz, Matthew Freeman, Curtiss I. Cook, Marc Chun",9.78097E+12,967023432,$15.00,"New York Theatre Experience, Incorporated, The",2002,"Drama Anthologies, American Drama, American Literature Anthologies",,350,5.54 (w) x 8.24 (h) x 0.78 (d)
368,Plays and Playwrights 2009,Martin Denton,"Martin Denton, Michael Laurence, Tim Collins, Lenora Champagne, Carlos Lacamara",9.78098E+12,979485223,$26.75,"New York Theatre Experience, Incorporated, The",2009,"Drama Anthologies, American Drama, American Literature Anthologies",,384,5.40 (w) x 8.20 (h) x 0.90 (d)
393,Plays and Playwrights 2008,Robert Attweiler,"Robert Attweiler, Daniel Reitz, Crystal Skillman, Leslie Bramm, Daniel Talbott",9.78098E+12,979485215,$16.61,"New York Theatre Experience, Incorporated, The",2008,"Drama Anthologies, American Drama, American Literature Anthologies",,,
140,New York Stories: The Best of the City Section of the New York Times,Constance Rosenblum,"Constance Rosenblum, Connie Rosenblum",9.78081E+12,814775721,$11.95,New York University Press,2005,"Americans - Regional Biography, Essays, American Literature Anthologies, United States Studies, General & Miscellaneous Literature Anthologies, Mapped Categories - Literature",,303,6.04 (w) x 9.04 (h) x 0.74 (d)
418,More New York Stories: The Best of the City Section of The New York Times,Constance Rosenblum,Constance Rosenblum,9.78081E+12,814776558,$14.22,New York University Press,2010,"Social Sciences - General & Miscellaneous, American Literature Anthologies, General & Miscellaneous Biography, General & Miscellaneous Literature Anthologies, Mapped Categories - Literature",,320,5.90 (w) x 8.90 (h) x 0.80 (d)
294,Tales for Little Rebels: A Collection of Radical Children's Literature,Philip Nel,"Philip Nel, Jack Zipes, Julia Mickenberg",9.78081E+12,814757219,$23.63,New York University Press,2010,"Literary Criticism - General & Miscellaneous, 20th Century American Literature - General & Miscellaneous - Literary Criticism, Literary Reference - Books & Reading, American Literature Anthologies",,313,7.90 (w) x 10.90 (h) x 0.90 (d)
238,Feeling Italian: The Art of Ethnicity in America,Thomas Ferraro,Thomas Ferraro,9.78081E+12,814727476,$22.08,New York University Press,2005,"United States - Ethnic & Race Relations, United States - Civilization, Italian American Studies, Ethnic & Minority Studies - United States, American Literature Anthologies",,408,0.62 (w) x 6.00 (h) x 9.00 (d)
15,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,"Werner Sollors, Werner Sollors",9.78081E+12,814781438,,New York University Press,2004,Language Arts &amp; Disciplines,,,
32,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,"Werner Sollors, Werner Sollors",9.78081E+12,814781446,,New York University Press,2004,"Literary Criticism, American",,,
353,Love and Marriage in Early African America,Frances Smith Foster,Frances Smith Foster,9.78156E+12,1555536778,$4.15,Northeastern University Press,2007,"Marriage, Peoples & Cultures - American Anthologies, Family - Literary Anthologies, Literature Anthologies - General & Miscellaneous",,360,5.90 (w) x 8.90 (h) x 1.20 (d)
409,Recollections of the Early Republic: Selected Autobiographies,Joyce Appleby,Joyce Appleby,9.78156E+12,1555533019,$23.94,Northeastern University Press,1997,"Historical Biography - United States - 19th Century, Historical Biography - United States - Colonial & 18th Century, American Literature Anthologies, 18th Century American History - General & Miscellaneous, 19th Century American History - Biography",,300,6.08 (w) x 9.22 (h) x 0.92 (d)
80,The Norton Anthology of American Literature: Volume C: 1865-1914,Arnold Krupat,"Arnold Krupat, Jerome Klinkowitz, Mary Loeffelholz, Philip F. Gura, Bruce Michelson",9.78039E+12,393927415,$37.77,"Norton, W. W. & Company, Inc.",2007,American Literature Anthologies,,1094,6.00 (w) x 9.20 (h) x 1.40 (d)
309,The Lowell Offering: Writings by New England Mill Women (1840-1845),Benita Eisler,"Benita Eisler, Benita Eisler, Benita Eisler",9.78039E+12,393316858,$15.95,"Norton, W. W. & Company, Inc.",1997,"Social Sciences, Women's Studies",,,
57,The Poets Laureate Anthology,Elizabeth Hun Schmidt,"Elizabeth Hun Schmidt, Library of Congress Staff, Billy Collins",9.78039E+12,393061817,$38.52,"Norton, W. W. & Company, Inc.",2010,"Poetry, American Literature Anthologies, Anthologies",,816,6.50 (w) x 9.30 (h) x 1.70 (d)
203,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Gloria Bird,"Gloria Bird, Joy Harjo",9.78039E+12,393318281,$18.95,"Norton, W. W. & Company, Inc.",1998,"Fiction, Anthologies (multiple authors)",,,
55,"The Norton Anthology of African American Literature, Vol. 2",Henry Louis Gates Jr.,"Henry Louis Gates Jr., Nellie Y. McKay",9.78039E+12,393977781,$72.82,"Norton, W. W. & Company, Inc.",2003,Peoples & Cultures - American Anthologies,,2832,6.00 (w) x 9.30 (h) x 2.30 (d)
167,The Norton Anthology of African American Literature,Henry Louis Gates Jr.,"Henry Louis Gates Jr., Nellie Y. McKay",9.78039E+12,393040011,$59.95,"Norton, W. W. & Company, Inc.",1996,"Literary Collections, Latin American",,,
